PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Liu, Hui; Lamm, Melissa S.; Rutherford, Kim; Black, Michael A.; Godwin, John R.; Gemmell, Neil J.								Large-scale transcriptome sequencing reveals novel expression patterns for key sex-related genes in a sex-changing fish								BIOLOGY OF SEX DIFFERENCES				6						26				NOV 25 2015	2015																			
J	Yepes, Sally; Mercedes Torres, Maria; Lopez-Kleine, Liliana								Regulatory network reconstruction reveals genes with prognostic value for chronic lymphocytic leukemia								BMC GENOMICS				16						1002				NOV 25 2015	2015																			
J	Miasnikof, Pierre; Giannakeas, Vasily; Gomes, Mireille; Aleksandrowicz, Lukasz; Shestopaloff, Alexander Y.; Alam, Dewan; Tollman, Stephen; Samarikhalaj, Akram; Jha, Prabhat								Naive Bayes classifiers for verbal autopsies: comparison to physician-based classification for 21,000 child and adult deaths								BMC MEDICINE				13						286				NOV 25 2015	2015																			
J	Zhang, Yong; Jia, Qiang; Prins, Herbert H. T.; Cao, Lei; de Boer, Willem Frederik								Effect of conservation efforts and ecological variables on waterbird population sizes in wetlands of the Yangtze River								SCIENTIFIC REPORTS				5						17136				NOV 25 2015	2015																			
J	Pelegrin, Nicoals; Bucher, Enrique H.								Activity and reproductive patterns of lizards in the Chaco of Argentina								JOURNAL OF NATURAL HISTORY				49	43-44			2693	2708					NOV 25 2015	2015																			
J	Kault, David; Kault, Sam								From P-Values to Objective Probabilities in Assessing Medical Treatments								PLOS ONE				10	11					e0142132				NOV 24 2015	2015																			
J	Meadows, Danielle N.; Bahous, Renata H.; Best, Ana F.; Rozen, Rima								High Dietary Folate in Mice Alters Immune Response and Reduces Survival after Malarial Infection								PLOS ONE				10	11					e0143738				NOV 24 2015	2015																			
J	Tedeschi, Luis O.								Integrating Genomics with Nutrition Models to Improve the Prediction of Cattle Performance and Carcass Composition under Feedlot Conditions								PLOS ONE				10	11					e0143483				NOV 24 2015	2015																			
J	van Werkhoven, Cornelis H.; Huijts, Susanne M.; Postma, Douwe F.; Oosterheert, Jan Jelrik; Bonten, Marc J. M.								Predictors of Bacteraemia in Patients with Suspected Community-Acquired Pneumonia								PLOS ONE				10	11					e0143817				NOV 24 2015	2015																			
J	Whalen, D. H.; Zunshine, Lisa; Holquist, Michael								Increases in Perspective Embedding Increase Reading Time Even with Typical Text Presentation: Implications for the Reading of Literature								FRONTIERS IN PSYCHOLOGY				6						1778				NOV 24 2015	2015																			
