PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Jordan-Garza, A. G.; Gonzalez-Gandara, C.; Salas-Perez, J. J.; Morales-Barragan, A. M.								Coral assemblages are structured along a turbidity gradient on the Southwestern Gulf of Mexico, Veracruz								CONTINENTAL SHELF RESEARCH				138				32	40					APR 15 2017	2017																			
J	Smets, Martha; Link, Stephanie; Wolf, Patricia; Schneider, Katrin; Solis, Veronica; Ryan, Joel; Meilinger, Daniela; Qin, Weihua; Leonhardt, Heinrich								DNMT1 mutations found in HSANIE patients affect interaction with UHRF1 and neuronal differentiation								HUMAN MOLECULAR GENETICS				26	8			1522	1534					APR 15 2017	2017																			
J	Uhl, Michael; Houwaart, Torsten; Corrado, Gianluca; Wright, Patrick R.; Backofen, Rolf								Computational analysis of CLIP-seq data								METHODS				118				60	72					APR 15 2017	2017																			
J	Yong, Seok-Gil; Kim, Jong-Hyun; Gim, Yuseong; Kim, Jinho; Cho, Jinkyun; Hong, Hiki; Baik, Young-Jin; Koo, Junemo								Impacts of building envelope design factors upon energy loads and their optimization in US standard climate zones using experimental design								ENERGY AND BUILDINGS				141				1	15					APR 15 2017	2017																			
J	Klein, Tommy; Samourkasidis, Argyrios; Athanasiadis, Ioannis N.; Bellocchi, Gianni; Calanca, Pierluigi								webXTREME: R-based web tool for calculating agroclimatic indices of extreme events								COMPUTERS AND ELECTRONICS IN AGRICULTURE				136				111	116					APR 15 2017	2017																			
J	Hellmann, Lena; Tegel, Willy; Geyer, Jan; Kirdyanov, Alexander V.; Nikolaev, Anatoly N.; Eggertsson, Olafur; Altman, Jan; Reinig, Frederick; Morganti, Sandro; Wacker, Lukas; Buntgen, Ulf								Dendro-provenancing of Arctic driftwood								QUATERNARY SCIENCE REVIEWS				162				1	11					APR 15 2017	2017																			
J	Frey, Caroline F.; Mueller, Norbert; Stauber, Norbert; Marreros, Nelson; Hofmann, Larissa; Hentrich, Brigitte; Hirsbrunner, Gaby								Simplicimonas-like DNA in vaginal swabs of cows and heifers cross-reacting in the real-time PCR for T-foetus								VETERINARY PARASITOLOGY				237				30	36					APR 15 2017	2017																			
J	Maksimov, Pavlo; Schares, Gereon; Press, Sebastian; Froehlich, Andreas; Basso, Walter; Herzig, Mandy; Conraths, Franz J.								Comparison of different commercial DNA extraction kits and PCR protocols for the detection of Echinococcus multilocularis eggs in faecal samples from foxes								VETERINARY PARASITOLOGY				237				83	93					APR 15 2017	2017																			
J	Maxwell, Alyssa; Hansen, Kirstin Anderson; Ortiz, Sara Torres; Larsen, Ole Naesbye; Siebert, Ursula; Wahlberg, Magnus								In-air hearing of the great cormorant (Phalacrocorax carbo)								BIOLOGY OPEN				6	4			496	502					APR 15 2017	2017																			
J	Petry, Maria V.; Benemann, Victoria R. F.								Ingestion of marine debris by the White-chinned Petrel (Procellaria aequinoctialis): Is it increasing over time off southern Brazil?								MARINE POLLUTION BULLETIN				117	1-2			131	135					APR 15 2017	2017																			
J	Qiao, Yinhuan; Feng, Jianfeng; Cui, Shangfa; Zhu, Lin								Long-term changes in nutrients, chlorophyll a and their relationships in a semi-enclosed eutrophic ecosystem, Bohai Bay, China								MARINE POLLUTION BULLETIN				117	1-2			222	228					APR 15 2017	2017																			
J	Redmond, Kirsten J.; Berry, Mark; Pampanin, Daniela M.; Andersen, Odd Ketil								Valve gape behaviour of mussels (Mytilus edulis) exposed to dispersed crude oil as an environmental monitoring endpoint								MARINE POLLUTION BULLETIN				117	1-2			330	339					APR 15 2017	2017																			
J	Rivas, Ioar; Mazaheri, Mandana; Viana, Mar; Moreno, Teresa; Clifford, Samuel; He, Congrong; Bischof, Oliver F.; Martins, Vania; Reche, Cristina; Alastuey, Andres; Alvarez-Pedrerol, Mar; Sunyer, Jordi; Morawska, Lidia; Querol, Xavier								Identification of technical problems affecting performance of DustTrak DRX aerosol monitors								SCIENCE OF THE TOTAL ENVIRONMENT				584				849	855					APR 15 2017	2017																			
J	Kopacek, J.; Fluksova, H.; Hejzlar, J.; Kana, J.; Porcal, P.; Turek, J.								Changes in surface water chemistry caused by natural forest dieback in an unmanaged mountain catchment								SCIENCE OF THE TOTAL ENVIRONMENT				584				971	981					APR 15 2017	2017																			
J	Pinto, Stefania; Gatti, Fabio; Garcia-Montero, Luis G.; Menta, Cristina								Does soil fauna like truffles just as humans do? One-year study of biodiversity in natural brules of Tuber aestivum Vittad								SCIENCE OF THE TOTAL ENVIRONMENT				584				1175	1184					APR 15 2017	2017																			
J	Thornhill, Ian; Ho, Jonathan G.; Zhang, Yuchao; Li, Huashou; Ho, Kin Chung; Miguel-Chinchilla, Leticia; Loiselle, Steven A.								Prioritising local action for water quality improvement using citizen science; a study across three major metropolitan areas of China								SCIENCE OF THE TOTAL ENVIRONMENT				584				1268	1281					APR 15 2017	2017																			
J	McDonald, James E.; Kessler, Marcus M.; Gardner, Michael W.; Buros, Amy F.; Ntambi, James A.; Waheed, Sarah; van Rhee, Frits; Zangari, Maurizio; Heuck, Christoph J.; Petty, Nathan; Schinke, Carolina; Thanendrarajan, Sharmilan; Mitchell, Alan; Hoering, Antje; Barlogie, Bart; Morgan, Gareth J.; Davies, Faith E.								Assessment of Total Lesion Glycolysis by F-18 FDG PET/CT Significantly Improves Prognostic Value of GEP and ISS in Myeloma								CLINICAL CANCER RESEARCH				23	8			1981	1987					APR 15 2017	2017																			
J	Stutz, R. S.; Croak, B. M.; Leimar, O.; Bergvall, U. A.								Borrowed plant defences: Deterring browsers using a forestry by-product								FOREST ECOLOGY AND MANAGEMENT				390				1	7					APR 15 2017	2017																			
J	Hood, Paul R.; Nelson, Kellen N.; Rhoades, Charles C.; Tinker, Daniel B.								The effect of salvage logging on surface fuel loads and fuel moisture in beetle-infested lodgepole pine forests								FOREST ECOLOGY AND MANAGEMENT				390				80	88					APR 15 2017	2017																			
J	Perot, Thomas; Marell, Anders; Korboulewsky, Nathalie; Seigner, Vincent; Balandier, Philippe								Modeling and predicting solar radiation transmittance in mixed forests at a within-stand scale from tree species basal area								FOREST ECOLOGY AND MANAGEMENT				390				127	136					APR 15 2017	2017																			
J	Kralicek, Karin; Huy, Bao; Poudel, Krishna P.; Temesgen, Hailemariam; Salas, Christian								Simultaneous estimation of above- and below-ground biomass in tropical forests of Viet Nam								FOREST ECOLOGY AND MANAGEMENT				390				147	156					APR 15 2017	2017																			
J	Lucas-Borja, M. E.; Candel-Perez, D.; Onkelinx, T.; Fule, P. Z.; Moya, D.; Gomez, R.; de las Heras, J.								Early Mediterranean pine recruitment in burned and unburned Pinus nigra Arn. ssp salzmannii stands of central Spain: Influence of species identity, provenances and post-dispersal predation								FOREST ECOLOGY AND MANAGEMENT				390				203	211					APR 15 2017	2017																			
J	Jackson, Craig R.; Groom, Rosemary J.; Jordan, Neil R.; McNutt, J. Weldon								The effect of relatedness and pack size on territory overlap in African wild dogs								MOVEMENT ECOLOGY				5						10				APR 15 2017	2017																			
J	Lew, Alicia; von Aderkas, Patrick; Berland, Anne; Curry, Charles L.; Lacourse, Terri; Tencer, Barbara; Weaver, Andrew								An assessment of Pinus contorta seed production in British Columbia: Geographic variation and dynamically-downscaled climate correlates from the Canadian Regional Climate Model								AGRICULTURAL AND FOREST METEOROLOGY				236				194	210					APR 15 2017	2017																			
J	Taka, Maija; Kokkonen, Teemu; Kuoppamaki, Kirsi; Niemi, Tero; Sillanpaa, Nora; Valtanen, Marjo; Warsta, Lassi; Setala, Heikki								Spatio-temporal patterns of major ions in urban stormwater under cold climate								HYDROLOGICAL PROCESSES				31	8			1564	1577					APR 15 2017	2017																			
J	Gwadz, Marya; Cleland, Charles M.; Perlman, David C.; Hagan, Holly; Jenness, Samuel M.; Leonard, Noelle R.; Ritchie, Amanda S.; Kutnick, Alexandra								Public Health Benefit of Peer-Referral Strategies for Detecting Undiagnosed HIV Infection Among High-Risk Heterosexuals in New York City								JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES				74	5			499	507					APR 15 2017	2017																			
J	Beier, Colin M.; Caputo, Jesse; Lawrence, Gregory B.; Sullivan, Timothy J.								Loss of ecosystem services due to chronic pollution of forests and surface waters in the Adirondack region (USA)								JOURNAL OF ENVIRONMENTAL MANAGEMENT				191				19	27					APR 15 2017	2017																			
J	Assandri, Giacomo; Bogliani, Giuseppe; Pedrini, Paolo; Brambilla, Mattia								Assessing common birds' ecological requirements to address nature conservation in permanent crops: Lessons from Italian vineyards								JOURNAL OF ENVIRONMENTAL MANAGEMENT				191				145	154					APR 15 2017	2017																			
J	Wright, Marvin N.; Dankowski, Theresa; Ziegler, Andreas								Unbiased split variable selection for random survival forests using maximally selected rank statistics								STATISTICS IN MEDICINE				36	8			1272	1284					APR 15 2017	2017																			
J	Lenaker, P. L.; Corsi, S. R.; Borchardt, M. A.; Spencer, S. K.; Baldwin, A. K.; Lutz, M. A.								Hydrologic, land cover, and seasonal patterns of waterborne pathogens in Great Lakes tributaries								WATER RESEARCH				113				11	21					APR 15 2017	2017																			
J	Longo, Ylenio; Coyne, Lain; Joseph, Stephen								The scales of general well-being (SGWB)								PERSONALITY AND INDIVIDUAL DIFFERENCES				109				148	159					APR 15 2017	2017																			
J	Dobinson, Hazel C.; Gibani, Malick M.; Jones, Claire; Thomaides-Brears, Helena B.; Voysey, Merryn; Darton, Thomas C.; Waddington, Claire S.; Campbell, Danielle; Milligan, Iain; Zhou, Liqing; Shrestha, Sonu; Kerridge, Simon A.; Peters, Anna; Stevens, Zoe; Podda, Audino; Martin, Laura B.; D'Alessio, Flavia; Duy Pham Thanh; Basnyat, Buddha; Baker, Stephen; Angus, Brian; Levine, Myron M.; Blohmke, Christoph J.; Pollard, Andrew J.								Evaluation of the Clinical and Microbiological Response to Salmonella Paratyphi A Infection in the First Paratyphoid Human Challenge Model								CLINICAL INFECTIOUS DISEASES				64	8			1066	1073					APR 15 2017	2017																			
J	Sotolongo-Costa, O.; Gaggero-Sager, L. M.; Becker, J. T.; Maestu, F.; Sotolongo-Grau, O.		Alzheimer's Dis Neuroimaging Initi						A physical model for dementia								PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS				472				86	93					APR 15 2017	2017																			
J	Cano, Gaspar; Garcia-Rodriguez, Jose; Garcia-Garcia, Alberto; Perez-Sanchez, Horacio; Benediktsson, Jon Atli; Thapa, Anil; Barr, Alastair								Automatic selection of molecular descriptors using random forest: Application to drug discovery								EXPERT SYSTEMS WITH APPLICATIONS				72				151	159					APR 15 2017	2017																			
J	Leo, Elettra; Kunz, Kristina L.; Schmidt, Matthias; Storch, Daniela; Poertner, Hans-O.; Mark, Felix C.								Mitochondrial acclimation potential to ocean acidification and warming of Polar cod (Boreogadus saida) and Atlantic cod (Gadus morhua)								FRONTIERS IN ZOOLOGY				14						21				APR 14 2017	2017																			
J	Ficheur, Gregoire; Caron, Alexandre; Beuscart, Jean-Baptiste; Ferret, Laurie; Jung, Yu-Jin; Garabedian, Charles; Beuscart, Regis; Chazard, Emmanuel								Case-crossover study to examine the change in postpartum risk of pulmonary embolism over time								BMC PREGNANCY AND CHILDBIRTH				17						119				APR 14 2017	2017																			
J	Harrison, Sarah Ellys; Sozen, Berna; Christodoulou, Neophytos; Kyprianou, Christos; Zernicka-Goetz, Magdalena								Assembly of embryonic and extraembryonic stem cells to mimic embryogenesis in vitro								SCIENCE				356	6334									APR 14 2017	2017																			
J	Weinberger, Simon; Topping, Matthew P.; Yan, Jiekun; Claeys, Annelies; De Geest, Natalie; Ozbay, Duru; Hassan, Talah; He, Xiaoli; Albert, Joerg T.; Hassan, Bassem A.; Ramaekers, Ariane								Evolutionary changes in transcription factor coding sequence quantitatively alter sensory organ development and function								ELIFE				6						e26402				APR 13 2017	2017																			
J	Franckowiak, Ryan P.; Panasci, Michael; Jarvis, Karl J.; Acuna-Rodriguez, Ian S.; Landguth, Erin L.; Fortin, Marie-Josee; Wagner, Helene H.								Model selection with multiple regression on distance matrices leads to incorrect inferences								PLOS ONE				12	4					e0175194				APR 13 2017	2017																			
J	Lindkvist, Emilie; Basurto, Xavier; Schluter, Maja								Micro-level explanations for emergent patterns of self-governance arrangements in small-scale fisheries-A modeling approach								PLOS ONE				12	4					e0175532				APR 13 2017	2017																			
J	Meurisse, Nicolas; Pawson, Stephen								Quantifying dispersal of a non-aggressive saprophytic bark beetle								PLOS ONE				12	4					e0174111				APR 13 2017	2017																			
J	Schweizer, Daniel; Blum, Philipp; Butscher, Christoph								Uncertainty assessment in 3-D geological models of increasing complexity								SOLID EARTH				8	2			515	530					APR 13 2017	2017																			
J	Sidarus, Nura; Vuorre, Matti; Metcalfe, Janet; Haggard, Patrick								Investigating the Prospective Sense of Agency: Effects of Processing Fluency, Stimulus Ambiguity, and Response Conflict								FRONTIERS IN PSYCHOLOGY				8						545				APR 13 2017	2017																			
J	Brocklehurst, Neil								Rates of morphological evolution in Captorhinidae: an adaptive radiation of Permian herbivores								PEERJ				5						e3200				APR 13 2017	2017																			
J	Connor, Richard C.; Cioffi, William R.; Randic, Srdan; Allen, Simon J.; Watson-Capps, Jana; Krutzen, Michael								Male alliance behaviour and mating access varies with habitat in a dolphin social network								SCIENTIFIC REPORTS				7						46354				APR 13 2017	2017																			
J	Khatiwada, Janak Raj; Shu, Guo Cheng; Wang, Shou Hong; Thapa, Arjun; Wang, Bin; Jiang, Jianping								A new species of the genus Microhyla (Anura: Microhylidae) from Eastern Nepal								ZOOTAXA				4254	2			221	239					APR 13 2017	2017																			
J	Curtolo, Maiara; Cristofani-Yaly, Mariangela; Gazaffi, Rodrigo; Takita, Marco Aurelio; Figueira, Antonio; Machado, Marcos Antonio								QTL mapping for fruit quality in Citrus using DArTseq markers								BMC GENOMICS				18						289				APR 12 2017	2017																			
