PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Daszkiewicz, Malgorzata; Schneider, Gerwulf								Results of archaeometric analysis of twenty pottery fragments from Delos								BULLETIN DE CORRESPONDANCE HELLENIQUE				133	1			241	256					2009	2009										0							WOS:000207959300009		
J	Torallas Tovar, Sofia; Worp, Klaas A.								A Fragment of Homer, Iliad 21 in the Newberry Library, Chicago								BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS				46				11	14					2009	2009										0							WOS:000272021700002		
J	van Minnen, Peter; Worp, Klaas A.								A Latin Manumission Tax Tablet in Los Angeles								BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS				46				15	22					2009	2009										1							WOS:000272021700003		
J	Blumell, Lincoln H.								Report of Proceedings in Red Ink from Late Second Century AD Oxyrhynchus								BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS				46				23	30					2009	2009										0							WOS:000272021700004		
J	Hickey, Todd M.								Two Papyri in Lund								BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS				46				31	36					2009	2009										1							WOS:000272021700005		
J	Moss, Jennifer Sheridan								Two Michigan Papyri								BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS				46				37	57					2009	2009										1							WOS:000272021700006		
J	Vergados, Athanassios								Letter from Simades to Pynas								BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS				46				59	68					2009	2009										0							WOS:000272021700007		
J	Bay, Stephen M.								The Deferment of Postpositive Particles in Greek Documentary Papyri								BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS				46				75	79					2009	2009										1							WOS:000272021700009		
J	Malouta, Myrto								Antinoite Citizenship under Hadrian and Antoninus Pius A Prosopographical Study of the First Thirty Years of Antinoopolis								BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS				46				81	96					2009	2009										0							WOS:000272021700010		
J	Choat, Malcolm; Yuen-Collingridge, Rachel								A Church with No Books and a Reader Who Cannot Write The Strange Case of P.Oxy. 33.2673								BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS				46				109	138					2009	2009										4							WOS:000272021700012		
J	Mayerson, Philip								The Embolator in Sixth/Seventh-Century Papyri								BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS				46				139	143					2009	2009										2							WOS:000272021700013		
J	van Minnen, Peter; Mayerson, Philip								Notes on Papyri								BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS				46				145	150					2009	2009										1							WOS:000272021700014		
J	Salminen, Timo								FINLAND AND ESTONIA IN EACH OTHER'S IMAGES OF PREHISTORY: BUILDING NATIONAL MYTHS								ESTONIAN JOURNAL OF ARCHAEOLOGY				13	1			3	20		10.3176/arch.2009.1.01			2009	2009										0							WOS:000267288900001		
J	Vedru, Gurly								LAYERS OF LANDSCAPE, LAYERS OF SITE								ESTONIAN JOURNAL OF ARCHAEOLOGY				13	1			21	35		10.3176/arch.2009.1.02			2009	2009										3							WOS:000267288900002		
J	Tamla, Uelle; Varkki, Harvi								LEARNING THE TECHNOLOGIES OF MAKING BEADED WIRE								ESTONIAN JOURNAL OF ARCHAEOLOGY				13	1			36	52		10.3176/arch.2009.1.03			2009	2009										2							WOS:000267288900003		
J	Petts, David								COASTAL LANDSCAPES AND EARLY CHRISTIANITY IN ANGLO-SAXON NORTHUMBRIA								ESTONIAN JOURNAL OF ARCHAEOLOGY				13	2			79	92		10.3176/arch.2009.2.01			2009	2009										3							WOS:000273179500002		
J	Sindbaek, Soren M.								OPEN ACCESS, NODAL POINTS, AND CENTRAL PLACES Maritime communication and locational principles for coastal sites in south Scandinavia, c. AD 400-1200								ESTONIAN JOURNAL OF ARCHAEOLOGY				13	2			96	107		10.3176/arch.2009.2.02			2009	2009										5							WOS:000273179500003		
J	Magi, Marika								HARBOUR SITES IN RITUAL LANDSCAPE - THE EXAMPLE OF VILTINA IN SOUTHERN SAAREMAA								ESTONIAN JOURNAL OF ARCHAEOLOGY				13	2			110	128		10.3176/arch.2009.2.03			2009	2009										0							WOS:000273179500004		
J	Norman, Peter								OUTER ARCHIPELAGO FISHING AS A RESOURCE IN THE SOCIETIES OF THE LATE IRON AGE AND MIDDLE AGES								ESTONIAN JOURNAL OF ARCHAEOLOGY				13	2			132	147		10.3176/arch.2009.2.04			2009	2009										0							WOS:000273179500005		
J	Ward, Ingrid; Smith, Barry; Lawley, Russell								Mapping the Archaeological Soil Archive of Sand and Gravel Mineral Reserves in Britain								GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL				24	1			1	21		10.1002/gea.20249			JAN-FEB 2009	2009										2							WOS:000262029900001		
J	Rossetti, Dilce de Fatima; Goes, Ana Maria; de Toledo, Peter Mann								Archaeological Mounds in Marajo Island in Northern Brazil: A Geological Perspective Integrating Remote Sensing and Sedimentology								GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL				24	1			22	41		10.1002/gea.20250			JAN-FEB 2009	2009										7							WOS:000262029900002		
J	Martinez-Torres, Luis M.								The Typology of Ancient Quarries within the Paleocene Limestone of Alava in Northern Spain								GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL				24	1			42	58		10.1002/gea.20252			JAN-FEB 2009	2009										2							WOS:000262029900003		
J	Bonomo, Mariano; Aguirre, Marina L.								Holocene Molluscs from Archaeological Sites of the Pampean Region of Argentina: Approaches to Past Human Uses								GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL				24	1			59	85		10.1002/gea.20254			JAN-FEB 2009	2009										9							WOS:000262029900004		
J	Montana, Giuseppe; Iliopoulos, Ioannis; Tardo, Valeria; Greco, Caterina								Petrographic and Geochemical Characterization of Archaic-Hellenistic Tableware Production at Solunto, Sicily								GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL				24	1			86	110		10.1002/gea.20251			JAN-FEB 2009	2009										9							WOS:000262029900005		
J	Tsoukala, Victoria								HONORARY SHARES OF SACRIFICIAL MEAT IN ATTIC VASE PAINTING VISUAL SIGNS OF DISTINCTION AND CIVIC IDENTITY								HESPERIA				78	1			1	40		10.2972/hesp.78.1.1			JAN-MAR 2009	2009										11							WOS:000266352500001		
J	Marchand, Jeannette C.								KLEONAI, THE CORINTH-ARGOS ROAD, AND THE "AXIS OF HISTORY"								HESPERIA				78	1			107	163		10.2972/hesp.78.1.107			JAN-MAR 2009	2009										5							WOS:000266352500003		
J	Skowronek, Russell K.; Blackman, M. James; Bishop, Ronald L.								Locally-made or Imported? Identifying Ceramic Composition Variation in the San Francisco Presidio Jurisdiction								HISTORICAL ARCHAEOLOGY				43	4			1	21					2009	2009										3							WOS:000207836000001		
J	Lydon, Jane								Imagining the Moravian Mission: Space and Surveillance at the Former Ebenezer Mission, Victoria, Southeastern Australia								HISTORICAL ARCHAEOLOGY				43	3			5	19		10.1007/BF03376757			2009	2009						Annual Meeting of the Society-for-Historical-Archaeology	2005	Soc Hist Archaeol	York, ENGLAND	10							WOS:000270105000003		
J	Scharfenberger, Gerard P.								Upon This Rock: Salvage Archaeology at the Early-Eighteenth-Century Holmdel Baptist Church								HISTORICAL ARCHAEOLOGY				43	1			12	29					2009	2009										2							WOS:000264011100003		
J	Durst, Jeffrey J.								Sourcing Gunflints to Their Country of Manufacture								HISTORICAL ARCHAEOLOGY				43	2			18	29		10.1007/BF03376748			2009	2009										6							WOS:000266420400004		
J	Gonzalez-Tennant, Edward								Using Geodatabases to Generate "Living Documents" for Archaeology: A Case Study from the Otago Goldfields, New Zealand								HISTORICAL ARCHAEOLOGY				43	3			20	37		10.1007/BF03376758			2009	2009						Annual Meeting of the Society-for-Historical-Archaeology	2005	Soc Hist Archaeol	York, ENGLAND	4							WOS:000270105000004		
J	Ahlman, Todd M.; Schroedl, Gerald F.; McKeown, Ashley H.								The Afro-Caribbean Ware from the Brimstone Hill Fortress, St. Kitts, West Indies: A Study in Ceramic Production								HISTORICAL ARCHAEOLOGY				43	4			22	41		10.1007/BF03376767			2009	2009										3							WOS:000207836000002		
J	Schulz, Peter D.; Lockhart, Bill; Serr, Carol; Lindsey, Bill								Rim Codes: A Pacific Coast Dating System for Milk Bottles								HISTORICAL ARCHAEOLOGY				43	2			30	39					2009	2009										0							WOS:000266420400005		
J	Ward, Jeanne A.; McCarthy, John R.								Tea in God's Light: An Analysis of Artifacts from the Friends Meetinghouse Site, Burlington, New Jersey								HISTORICAL ARCHAEOLOGY				43	1			30	45					2009	2009										3							WOS:000264011100004		
J	Prangnell, Jonathan; Quirk, Kate								Children in Paradise: Growing Up on the Australian Goldfields								HISTORICAL ARCHAEOLOGY				43	3			38	49		10.1007/BF03376759			2009	2009						Annual Meeting of the Society-for-Historical-Archaeology	2005	Soc Hist Archaeol	York, ENGLAND	4							WOS:000270105000005		
J	Smith, Pamela A.; Smith, Richard M.								Bricks and Mortar: A Method for Identifying Construction Phases in Multistage Structures								HISTORICAL ARCHAEOLOGY				43	2			40	60					2009	2009										3							WOS:000266420400006		
J	Porter, Kevin M.								A Historic Dugout from the Apalachicola River, Florida								HISTORICAL ARCHAEOLOGY				43	4			42	55		10.1007/BF03376768			2009	2009										0							WOS:000207836000003		
